Timestamp,Day,Hour,Day_of_Week,Intersection_ID,Zone,Grid_Row,Grid_Col,Weather,Incident,Traffic_Volume,Cars,Motorcycles,Buses,Trucks,Emergency_Vehicles,Queue_Length,Average_Wait_Time_min,Average_Speed_kmh,Throughput,Congestion_Level,V_C_Ratio,Level_of_Service,Green_Signal_sec,Yellow_Signal_sec,Red_Signal_sec,Cycle_Length_sec,Delay_min,CO2_Emissions_g,Baseline_Recommendation,Num_Neighbors
2024-01-01 00:00:00,1,0,Monday,J1,Commercial,0,0,Clear,Major Accident,170,112,17,9,18,5,0,15.0,25.27,170,Low,0.189,F,45,3,42,90,8.09,25318.52,Emergency Priority Override,4
2024-01-01 00:00:00,1,0,Monday,J2,Commercial,0,1,Clear,None,171,106,17,13,17,0,0,0.0,50.9,171,Low,0.095,A,30,3,57,90,0.0,16944.41,Reduce Green Time,5
2024-01-01 00:00:00,1,0,Monday,J3,Commercial,0,2,Clear,None,191,123,20,19,27,0,0,0.0,49.54,191,Low,0.106,A,30,3,57,90,0.01,23998.78,Reduce Green Time,4
2024-01-01 00:00:00,1,0,Monday,J4,Commercial,0,3,Clear,None,191,129,21,10,20,7,0,0.0,50.62,191,Low,0.106,A,45,3,42,90,0.0,19110.06,Emergency Priority Override,9
2024-01-01 00:00:00,1,0,Monday,J5,Commercial,0,4,Clear,None,246,159,23,25,25,1,0,0.0,50.77,246,Low,0.137,A,45,3,42,90,0.0,27539.26,Emergency Priority Override,18
2024-01-01 00:00:00,1,0,Monday,J6,Residential,1,0,Clear,None,210,147,34,6,7,5,0,0.0,47.48,210,Low,0.117,A,45,3,42,90,0.03,15897.8,Emergency Priority Override,2
2024-01-01 00:00:00,1,0,Monday,J7,Residential,1,1,Clear,Minor Accident,162,112,23,12,4,5,0,5.0,41.02,162,Low,0.113,C,45,3,42,90,2.63,16691.34,Emergency Priority Override,3
2024-01-01 00:00:00,1,0,Monday,J8,Residential,1,2,Clear,None,269,190,42,10,17,5,0,0.0,49.28,269,Low,0.149,A,45,3,42,90,0.01,22920.37,Emergency Priority Override,10
2024-01-01 00:00:00,1,0,Monday,J9,Residential,1,3,Clear,None,261,185,34,12,17,3,0,0.0,51.93,261,Low,0.145,A,45,3,42,90,0.0,21693.99,Emergency Priority Override,9
2024-01-01 00:00:00,1,0,Monday,J10,Residential,1,4,Clear,None,217,148,28,18,15,6,0,0.0,50.93,217,Low,0.121,A,45,3,42,90,0.0,21895.03,Emergency Priority Override,7
2024-01-01 00:00:00,1,0,Monday,J11,School,2,0,Clear,Road Work,198,108,17,36,10,16,0,8.0,35.51,198,Low,0.157,D,45,3,42,90,4.24,34147.46,Emergency Priority Override,0
2024-01-01 00:00:00,1,0,Monday,J12,School,2,1,Clear,None,168,91,21,29,8,19,0,0.0,52.17,168,Low,0.093,A,45,3,42,90,0.0,21590.46,Emergency Priority Override,4
2024-01-01 00:00:00,1,0,Monday,J13,School,2,2,Clear,None,139,78,13,24,5,18,0,0.0,50.17,139,Low,0.077,A,45,3,42,90,0.0,18422.15,Emergency Priority Override,2
2024-01-01 00:00:00,1,0,Monday,J14,School,2,3,Clear,None,121,67,9,26,7,14,0,0.0,49.04,121,Low,0.067,A,45,3,42,90,0.01,18941.83,Emergency Priority Override,13
2024-01-01 00:00:00,1,0,Monday,J15,School,2,4,Clear,None,139,76,17,30,4,13,0,0.0,48.07,139,Low,0.077,A,45,3,42,90,0.02,20751.23,Emergency Priority Override,12
2024-01-01 00:00:00,1,0,Monday,J16,Industrial,3,0,Clear,None,165,72,14,12,54,10,0,0.0,50.24,165,Low,0.092,A,45,3,42,90,0.0,26930.11,Emergency Priority Override,3
2024-01-01 00:00:00,1,0,Monday,J17,Industrial,3,1,Clear,None,156,74,13,10,50,6,0,0.0,52.91,156,Low,0.087,A,45,3,42,90,0.0,23210.66,Emergency Priority Override,2
2024-01-01 00:00:00,1,0,Monday,J18,Industrial,3,2,Clear,None,129,54,13,12,41,6,0,0.0,47.42,129,Low,0.072,A,45,3,42,90,0.03,22656.72,Emergency Priority Override,2
2024-01-01 00:00:00,1,0,Monday,J19,Industrial,3,3,Clear,None,178,76,15,17,58,9,0,0.0,50.64,178,Low,0.099,A,45,3,42,90,0.0,30020.75,Emergency Priority Override,11
2024-01-01 00:00:00,1,0,Monday,J20,Industrial,3,4,Clear,None,157,73,14,12,53,9,0,0.0,49.24,157,Low,0.087,A,45,3,42,90,0.01,27100.76,Emergency Priority Override,11
2024-01-01 00:00:00,1,0,Monday,J21,Hospital,4,0,Clear,None,204,107,17,8,11,47,0,0.0,48.32,204,Low,0.113,A,45,3,42,90,0.02,20041.5,Emergency Priority Override,9
2024-01-01 00:00:00,1,0,Monday,J22,Hospital,4,1,Clear,None,231,120,17,5,9,57,0,0.0,48.67,231,Low,0.128,A,45,3,42,90,0.02,20141.89,Emergency Priority Override,3
2024-01-01 00:00:00,1,0,Monday,J23,Hospital,4,2,Clear,None,217,114,27,11,10,57,0,0.0,51.84,217,Low,0.121,A,45,3,42,90,0.0,21488.99,Emergency Priority Override,9
2024-01-01 00:00:00,1,0,Monday,J24,Hospital,4,3,Clear,None,149,83,13,6,10,33,0,0.0,50.92,149,Low,0.083,A,45,3,42,90,0.0,14684.74,Emergency Priority Override,5
2024-01-01 00:00:00,1,0,Monday,J25,Hospital,4,4,Clear,None,144,78,13,10,5,33,0,0.0,49.69,144,Low,0.08,A,45,3,42,90,0.0,14851.51,Emergency Priority Override,9
2024-01-01 00:15:00,1,0,Monday,J1,Commercial,0,0,Clear,None,194,130,18,19,29,0,0,0.0,50.91,194,Low,0.108,A,30,3,57,90,0.0,24279.91,Reduce Green Time,4
2024-01-01 00:15:00,1,0,Monday,J2,Commercial,0,1,Clear,None,169,114,24,17,18,3,0,0.0,48.28,169,Low,0.094,A,45,3,42,90,0.02,20951.77,Emergency Priority Override,5
2024-01-01 00:15:00,1,0,Monday,J3,Commercial,0,2,Clear,None,174,109,15,12,27,6,0,0.0,48.71,174,Low,0.097,A,45,3,42,90,0.02,21249.45,Emergency Priority Override,4
2024-01-01 00:15:00,1,0,Monday,J4,Commercial,0,3,Clear,None,246,167,30,22,26,1,0,0.0,52.81,246,Low,0.137,A,45,3,42,90,0.0,26232.92,Emergency Priority Override,9
2024-01-01 00:15:00,1,0,Monday,J5,Commercial,0,4,Clear,None,226,140,24,11,29,10,0,0.0,50.19,226,Low,0.126,A,45,3,42,90,0.0,23500.36,Emergency Priority Override,18
2024-01-01 00:15:00,1,0,Monday,J6,Residential,1,0,Clear,None,237,159,31,15,14,5,0,0.0,47.72,237,Low,0.132,A,45,3,42,90,0.03,22428.12,Emergency Priority Override,2
2024-01-01 00:15:00,1,0,Monday,J7,Residential,1,1,Clear,None,189,133,23,6,11,8,0,0.0,48.9,189,Low,0.105,A,45,3,42,90,0.01,15825.67,Emergency Priority Override,3
