Timestamp,Intersection_ID,Zone,Controller,Traffic_Volume,Green_sec,Red_sec,Cycle_sec,Est_Throughput,Est_Wait_Time_min,Est_Speed_kmh,Green_Ratio
2024-01-01 00:00:00,J1,Commercial,Fixed,170,45,42,90,170,25.58,50.0,0.5
2024-01-01 00:00:00,J1,Commercial,TimeOfDay,170,25,62,90,170,46.27,50.0,0.278
2024-01-01 00:00:00,J1,Commercial,Actuated,170,45,42,90,170,25.58,50.0,0.5
2024-01-01 00:00:00,J2,Commercial,Fixed,171,45,42,90,171,25.61,50.0,0.5
2024-01-01 00:00:00,J2,Commercial,TimeOfDay,171,25,62,90,171,46.41,50.0,0.278
2024-01-01 00:00:00,J2,Commercial,Actuated,171,30,57,90,171,39.31,50.0,0.333
2024-01-01 00:00:00,J3,Commercial,Fixed,191,45,42,90,191,26.32,50.0,0.5
2024-01-01 00:00:00,J3,Commercial,TimeOfDay,191,25,62,90,191,49.36,50.0,0.278
2024-01-01 00:00:00,J3,Commercial,Actuated,191,30,57,90,191,41.2,50.0,0.333
2024-01-01 00:00:00,J4,Commercial,Fixed,191,45,42,90,191,26.32,50.0,0.5
2024-01-01 00:00:00,J4,Commercial,TimeOfDay,191,25,62,90,191,49.36,50.0,0.278
2024-01-01 00:00:00,J4,Commercial,Actuated,191,45,42,90,191,26.32,50.0,0.5
2024-01-01 00:00:00,J5,Commercial,Fixed,246,45,42,90,246,28.51,50.0,0.5
2024-01-01 00:00:00,J5,Commercial,TimeOfDay,246,25,62,90,246,59.85,50.0,0.278
2024-01-01 00:00:00,J5,Commercial,Actuated,246,45,42,90,246,28.51,50.0,0.5
2024-01-01 00:00:00,J6,Residential,Fixed,210,45,42,90,210,27.04,50.0,0.5
2024-01-01 00:00:00,J6,Residential,TimeOfDay,210,25,62,90,210,52.54,50.0,0.278
2024-01-01 00:00:00,J6,Residential,Actuated,210,45,42,90,210,27.04,50.0,0.5
2024-01-01 00:00:00,J7,Residential,Fixed,162,45,42,90,162,25.3,50.0,0.5
2024-01-01 00:00:00,J7,Residential,TimeOfDay,162,25,62,90,162,45.19,50.0,0.278
2024-01-01 00:00:00,J7,Residential,Actuated,162,45,42,90,162,25.3,50.0,0.5
2024-01-01 00:00:00,J8,Residential,Fixed,269,45,42,90,269,29.53,50.0,0.5
2024-01-01 00:00:00,J8,Residential,TimeOfDay,269,25,62,90,269,60.0,48.48,0.278
2024-01-01 00:00:00,J8,Residential,Actuated,269,45,42,90,269,29.53,50.0,0.5
2024-01-01 00:00:00,J9,Residential,Fixed,261,45,42,90,261,29.17,50.0,0.5
2024-01-01 00:00:00,J9,Residential,TimeOfDay,261,25,62,90,261,60.0,49.12,0.278
2024-01-01 00:00:00,J9,Residential,Actuated,261,45,42,90,261,29.17,50.0,0.5
2024-01-01 00:00:00,J10,Residential,Fixed,217,45,42,90,217,27.31,50.0,0.5
2024-01-01 00:00:00,J10,Residential,TimeOfDay,217,25,62,90,217,53.82,50.0,0.278
2024-01-01 00:00:00,J10,Residential,Actuated,217,45,42,90,217,27.31,50.0,0.5
2024-01-01 00:00:00,J11,School,Fixed,198,45,42,90,198,26.58,50.0,0.5
2024-01-01 00:00:00,J11,School,TimeOfDay,198,25,62,90,198,50.49,50.0,0.278
2024-01-01 00:00:00,J11,School,Actuated,198,45,42,90,198,26.58,50.0,0.5
2024-01-01 00:00:00,J12,School,Fixed,168,45,42,90,168,25.51,50.0,0.5
2024-01-01 00:00:00,J12,School,TimeOfDay,168,25,62,90,168,45.99,50.0,0.278
2024-01-01 00:00:00,J12,School,Actuated,168,45,42,90,168,25.51,50.0,0.5
2024-01-01 00:00:00,J13,School,Fixed,139,45,42,90,139,24.55,50.0,0.5
2024-01-01 00:00:00,J13,School,TimeOfDay,139,25,62,90,139,42.35,50.0,0.278
2024-01-01 00:00:00,J13,School,Actuated,139,45,42,90,139,24.55,50.0,0.5
2024-01-01 00:00:00,J14,School,Fixed,121,45,42,90,121,23.98,50.0,0.5
2024-01-01 00:00:00,J14,School,TimeOfDay,121,25,62,90,121,40.36,50.0,0.278
2024-01-01 00:00:00,J14,School,Actuated,121,45,42,90,121,23.98,50.0,0.5
2024-01-01 00:00:00,J15,School,Fixed,139,45,42,90,139,24.55,50.0,0.5
2024-01-01 00:00:00,J15,School,TimeOfDay,139,25,62,90,139,42.35,50.0,0.278
2024-01-01 00:00:00,J15,School,Actuated,139,45,42,90,139,24.55,50.0,0.5
2024-01-01 00:00:00,J16,Industrial,Fixed,165,45,42,90,165,25.4,50.0,0.5
2024-01-01 00:00:00,J16,Industrial,TimeOfDay,165,25,62,90,165,45.59,50.0,0.278
2024-01-01 00:00:00,J16,Industrial,Actuated,165,45,42,90,165,25.4,50.0,0.5
2024-01-01 00:00:00,J17,Industrial,Fixed,156,45,42,90,156,25.1,50.0,0.5
2024-01-01 00:00:00,J17,Industrial,TimeOfDay,156,25,62,90,156,44.41,50.0,0.278
2024-01-01 00:00:00,J17,Industrial,Actuated,156,45,42,90,156,25.1,50.0,0.5
2024-01-01 00:00:00,J18,Industrial,Fixed,129,45,42,90,129,24.23,50.0,0.5
2024-01-01 00:00:00,J18,Industrial,TimeOfDay,129,25,62,90,129,41.22,50.0,0.278
2024-01-01 00:00:00,J18,Industrial,Actuated,129,45,42,90,129,24.23,50.0,0.5
2024-01-01 00:00:00,J19,Industrial,Fixed,178,45,42,90,178,25.85,50.0,0.5
2024-01-01 00:00:00,J19,Industrial,TimeOfDay,178,25,62,90,178,47.4,50.0,0.278
2024-01-01 00:00:00,J19,Industrial,Actuated,178,45,42,90,178,25.85,50.0,0.5
2024-01-01 00:00:00,J20,Industrial,Fixed,157,45,42,90,157,25.13,50.0,0.5
2024-01-01 00:00:00,J20,Industrial,TimeOfDay,157,25,62,90,157,44.54,50.0,0.278
2024-01-01 00:00:00,J20,Industrial,Actuated,157,45,42,90,157,25.13,50.0,0.5
2024-01-01 00:00:00,J21,Hospital,Fixed,204,45,42,90,204,26.81,50.0,0.5
2024-01-01 00:00:00,J21,Hospital,TimeOfDay,204,25,62,90,204,51.5,50.0,0.278
2024-01-01 00:00:00,J21,Hospital,Actuated,204,45,42,90,204,26.81,50.0,0.5
2024-01-01 00:00:00,J22,Hospital,Fixed,231,45,42,90,231,27.88,50.0,0.5
2024-01-01 00:00:00,J22,Hospital,TimeOfDay,231,25,62,90,231,56.57,50.0,0.278
2024-01-01 00:00:00,J22,Hospital,Actuated,231,45,42,90,231,27.88,50.0,0.5
2024-01-01 00:00:00,J23,Hospital,Fixed,217,45,42,90,217,27.31,50.0,0.5
